author,cid,comment,commentsCount,pageUrl,title,videoId
@rayhanirfander7723,UgzVnc3bxMaD_lYzLAh4AaABAg,"Gegara Deepfakenya Andrew Garfield Akhirnya Ngesearch Video Deepfake Dan  Nemu Channel Ini, Videonya Sangat Bermanfaat Sekali Trimakasih",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@bangjunior4973,Ugwdm9PEL__IWZYCHDt4AaABAg,"Terimakasih bang, ilmunya bermanfaat. Semangat. Ijin share 🙏",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@cadileka8899,Ugz04GkR3pwKA7CPPqt4AaABAg,"ANJRIT CHANEL BAGUS INI",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@mrnjksp9700,UgwM-s1F7Ddod-pE7lJ4AaABAg,"Kerana UEL aq belajar kaji tentang deepfake,ahirnya aq jumpa chanel ini,ternyata ada sesuatu mengenai feepfake... 👍",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@kohLeeDjocdja,UgxuDXK5R2bsR8w5NrJ4AaABAg,"Pakai koding2 itu ya ?... yg pakai software ada kah ?....",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@kagetin3380,Ugw9BOQ_F9pZSB2k-TV4AaABAg,"ronaldo: Beli semua di shopee, geratis onkieeerw",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@sotongannogaya6916,UgwE5_-DLvWFOw4P6QZ4AaABAg,"Deepfake itu offline atau online bang ?",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@napuzu,Ugx_jXSUicD5ChTCEqR4AaABAg,"alasan kenapa idol luar kalau livesteam IG pakai filter menor.",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@kepoinaja2548,UgxcV0YmuR7BXkVsEFJ4AaABAg,"Dame Dane Dame yo Dame da doyo awokwokwokwok",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@rowleyaseng2216,UgwEIgp368DkUnQX-0F4AaABAg,"Di twitter lain cerita deepfakenya. #iykwim",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@AbidienMahaja,UgxKG1CrrygHKzha0dR4AaABAg,"Gila luar biasa ternyata dampak diciptakannya deepfake",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@aseven7777,UgwfUeyFRtZ_eDIKbJR4AaABAg,"Yg bahaya kalo teknologi ini digunakan untuk memfitnah/menipu",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@prepareid4909,UgzrDomRgEVqL4WoOsl4AaABAg,"sdh pasti nih di pake perang dunia 3 dan   perang informasi di Ukraina ,  presiden nya pelawak",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@rangga709,Ugy_7JdnlzLa1AAhBBh4AaABAg,"Awal mula nonton ip man 4 ada bruce lee nya, ternyata itu deepfake. Alhasil coba lihat video ini biar makin paham apa itu deepfake 😂",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@galuhayundan4456,UgyM3gZ3qqYdxSXunx54AaABAg,"Informasi yang bagus!",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@ragilsaputra2371,Ugwe8RnJDWVz-WndK2l4AaABAg.9UWSN9W0Xqq9UZHpSho8-O,"a23 Maksud saya tabayun (klarifikasi) bro. Biar kalau ada berita/kejadian ini itu jangan langsung telan bulat-bulat. Namun di klarifikasi dulu dari sumber terpercaya.",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@kertasandpena,Ugzo3M9YEq9OdQbQt8d4AaABAg.9TJWxMAQWyF9TKFcpRcn9q,"Hah?",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@dareenweee,UgzhuJ-qMOAYBHf90Qp4AaABAg,"Siapa sini garagara 19detik?",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@muhammadrafaa8692,Ugzf8HWyjz9UrxcPT754AaABAg,"Sementara kita pake deepfake di 2020 untuk membuat meme",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@soda1684,Ugw97GS94MYOqMtBqiV4AaABAg,"yg kesini gara gara gisel hadir",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@asuslaptop4627,Ugy88dS92OBTNDbI2wN4AaABAg,"wow...kerennn",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@orangiseng7039,Ugyb08WfxqB3uiqG8RN4AaABAg,"Wow...Keren bro...Manthap Ilmunya",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@eddiearrazy,UgydJCq455HhEKCIVbJ4AaABAg,"aplikasi fitnah dajjal",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@mra2239,UgxTUA7w23Hkg9E_2EJ4AaABAg,"Bang saya pengen link first order model",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@thewatcher7597,UgxUk1mZvw8U9IxkQ194AaABAg,"downloadnya dimana",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@virgi856,UgzOZUOMDrdtiays_1x4AaABAg,"Semakin real semakin menyeramkan. Bisa di salahgunakan orang. Terutama buat kriminal seperti penipuan. Harusnya aplikasi kaya gini janganlah gampang digunakan semua orang.",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@simbathelion123,Ugx7uWxqHiHzG4YLeNB4AaABAg,"makin kesini makin serem",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@koIesterol,Ugzbesn5vqBZwfTDHGl4AaABAg,"deepfake emang pisau bermata dua, tergantung kita lihat sisi yang mana. jadi manusia di jaman berkembang susah, jangan mudah percaya.",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@perampok_mim,Ugx1Q-IGN6Bq4cBNiah4AaABAg,"Meme deepfake : what?",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@catchannel6856,UgytuTodNL8XIPHqxxp4AaABAg,"Wah bakal di gunakan hal negatif ni, mending di tutup jual ke publik",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@reasky74,Ugy7MXuD05R7Tv09iaZ4AaABAg,"Teknologi maju manusia semakin bodoh",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@fandyid2212,UgzMF5vEW2MYB8zkoKp4AaABAg,"Njirrr baru tau gue ada ginian🤣",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@jodantae1117,UgzWwMyQPrMgF6u-tgl4AaABAg.9RbSmzRhEGc9Uunox2SOOJ,"Asli itu",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@koIesterol,UgzOZUOMDrdtiays_1x4AaABAg.9KSwWAvTdBZ9NxT1F76ZmR,"kalau semua orang udah bisa bikin sendiri 'buku pengaturannya', ngga ada yang bisa hentiin. mawas diri yang utama.",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@ardosaik4080,UgxUk1mZvw8U9IxkQ194AaABAg.9J7e2TLUqK69KdtJk8qVtE,"Di rumag mu",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@KasihTahu,UgxTUA7w23Hkg9E_2EJ4AaABAg.9IJdQcLV4cl9IJvrFmM7Pc,"https://github.com/AliaksandrSiarohin/first-order-model",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@fitmyface6123,UgzHPnvADJa7GRC2z6t4AaABAg.9HRy2RuMqbW9I-o3O2Psv8,"dah ada counternya kok, tapi kalo untuk mengelabui masyarakat awam bahaya banget",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@alexanderludwigthaddeusvandarc,UgzCWY7jnMpIfIMPnTF4AaABAg.9GkNcmm-9sp9RtYbEJ1I4q,"media berita indo dan pemerintah indo terlalu sensitif, tdk ad selera humor, hny krn deepfake pake mukae pak pres dgn baakamitai.",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@eddiearrazy,UgydJCq455HhEKCIVbJ4AaABAg.9Ghwcfflcif9N0TBsmEte7,"aplikasi fitnah dajjal",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@gunawanantigam33,UgydJCq455HhEKCIVbJ4AaABAg.9Ghwcfflcif9N0C3u-Ly5l,"goblok kau,.. dikit2 kaitkan denga agama",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@restuwicaksono267,Ugzf8HWyjz9UrxcPT754AaABAg.9G45P-t1f8C9fywxIGtMJA,"Liat ditahun 2024 deepfake bakal dimanfaatkan/disalahgunakan untuk...",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@alexanderludwigthaddeusvandarc,Ugzf8HWyjz9UrxcPT754AaABAg.9G45P-t1f8C9RtYqgu-ugO,"tdk tahu knp media indo mainstream indo sngt sensi terkait deepfake? apa karena meme pak pres dgn bakamitai? tidk pny selera humor sm skli, makanya sy tdk pernah liat media indo baik itu entertainment maupun berita, entertainment plg lihat bbrp youtuber sj",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@faspacerid,UgwB0KYVn2RvK0jwaK14AaABAg,"yare yare",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@antonyy2927,UgwhfeaQi69Cf3UQ2S94AaABAg,"Nyot nyot",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@aaron9745,UgyWKiP35KU5qO4LbSp4AaABAg,"DAME DANE DAMEYO",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@luckytpf8649,UgxSnlbk-__NVLPeoDl4AaABAg,"DAME DA NE",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@suzilazahri4776,UgzYc_R-QmJQgtT5MO94AaABAg,"Dame da ne",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@KeozID,UgxgtFG6z8z94NIMfWV4AaABAg,"DAME DA NE",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@rafidadicandra9379,UgzK-KZBrPMlQkfVWb54AaABAg,"Dame da ne dame yo dame da yo",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@Upload5MenitLovers,UgyC0khGvPUqT64TgHV4AaABAg,"Kok gw bingung yaa ini afk apaan sih",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@muhammadnafis8244,UgxXmqkqz9uqQPt6Gmx4AaABAg,"Wow....",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@muhammadzulfiqry4704,UgxF-2xi0ZLkACNwHCR4AaABAg,"Ibu2 be like itu aslii dek liatt donggg mulutnya samaa",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@mafazihafiz2699,UgygVw6j7NkXsdYcftR4AaABAg,"Udah mirip episode Black Mirror",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@nicholaudry415,UgzsdaUFGaCoHqapLfJ4AaABAg,"Gw liat video deepfake keliatan beud editan",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@fauzandwi9024,Ugzu5752SjmrRocSBpx4AaABAg,"Bang nama apk nya apa bang",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@h.ahmadputranto4805,UgwBo5Vijc6AFyv9qDR4AaABAg,"The hell, that was very very very...very dangerous",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@kacerkenangan1303,UgzsAbrajTV9N_9QnjbV4AaABAg,"pliss sedian cara intal conda di windows bang",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@lahmanabisagitunjirchannel9186,Ugyl-wETTG3zMrRaSPp4AaABAg,"kadang jadi meme dame da yo, damede dame dayoooooo, suki de suki sukideeeeeeee, dame da yo palalu suki suki deeeeeeeeeee",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@happyghast12,Ugwl2KfK37J2fvOXe4l4AaABAg,"Dame dane dameyo damenatoyo",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@tutorialmix106,UgxVBRj0XLP9LdCaYCp4AaABAg,"Teknologi fitnah dajjal",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@gunawanantigam33,UgxVBRj0XLP9LdCaYCp4AaABAg.9Fh6TI-ML2M9MyH9ucbyF2,"dajal anajing",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@KasihTahu,UgzAbrajTV9N_9QnjbV4AaABAg.9DwAv4xzmAJ9E6bgMe_J8k,"Saya juga gk tau, krn ini aku buatnya pakai google colaboratory.",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@carljohnson505,UgwBo5Vijc6AFyv9qDR4AaABAg.9DgOs1OW2on9E6bP3zp6d6,"Kan bisa bikin dame dane",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@xprojek8731,Ugzu5752SjmrRocSBpx4AaABAg.9DVlVbB8wmW9EuD8wQDGxe,"@KasihTahu link nya donk bro",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@KasihTahu,Ugzu5752SjmrRocSBpx4AaABAg.9DVlVbB8wmW9DVpGEp5TbG,"Untuk video ini saya pakai first-order-model",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@widodoaja6353,UgxF-2xi0ZLkACNwHCR4AaABAg.9D1Cv2KktWa9W4HMEBc8gb,"Tuh mulutnya bisa ngomong",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@Arrado_v07,UgxF-2xi0ZLkACNwHCR4AaABAg.9D1Cv2KktWa9SKuqbIzUDD,"Asli bagi orang awam",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@drago-kun9854,UgyC0khGvPUqT64TgHV4AaABAg.9CqyGWSJCK59CtPVdASzHb,"@Upload5MenitLovers deepfakes",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@Upload5MenitLovers,UgyC0khGvPUqT64TgHV4AaABAg.9CqyGWSJCK59CtBqIIRxJJ,"@KasihTahu heheh typooo makssudnya apk paan",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@KasihTahu,UgyC0khGvPUqT64TgHV4AaABAg.9CqyGWSJCK59Crhsc6sQjY,"AFK? kalau dalam istilah gaming, away from keyboard",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@33_wildaputracahyaramadhan68,UgyeNjXLihrC6mQ8uSF4AaABAg.9CJ-UGxrgpe9CuHWbPeDdD,"Dame da ne",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@abdullahfahim6134,UgyeNjXLihrC6mQ8uSF4AaABAg.9CJ-UGxrgpe9Ctbxw4ossM,"Flooradu gang",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@dawg3922,UgyeNjXLihrC6mQ8uSF4AaABAg.9CJ-UGxrgpe9CRljwYGaPU,"@DietrichGrafaelEInnah lol",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@DietrichGrafaelEInnah,UgyeNjXLihrC6mQ8uSF4AaABAg.9CJ-UGxrgpe9CPV9T0SGWr,"Gw buat gituan ke temen dikira asli",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@raygieputra,Ugyy22bdEKTyA51YUot4AaABAg.9CHaOnbm9oJ9KbqW_u7LkN,"@shasharose9916 bill gates ngomong di taun 90 🤦🏻‍♂️",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@shasharose9916,Ugyy22bdEKTyA51YUot4AaABAg.9CHaOnbm9oJ9JU0MdGtFzZ,"30 tahun depan udah malas pakek media sosial dan internet",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@siaje4189,UgxxMgRtdz4qtZHTutp4AaABAg,"Bagus bro terus buat konten2 yang bermanfaat",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@uzumakiminato7228,UgzW8r7olRbJBVy3Aq94AaABAg,"Bagus videonya",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@muhkandawibawaputra8948,UgxWx7NjKlwjXJfWP8p4AaABAg,"Sangat edukatif sekali!",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@seseorang3290,UgxPHEhIttNyvvuDscR4AaABAg,"Mantap! maju terus bang dengan informasi yg diberikan",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@jackperson7548,UgwwUIpODpUmf7zgjy54AaABAg,"Kalo deep fake secara real time bisa ga bang",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@BiologiAja,Ugyf7UqSSVverQpc7Cl4AaABAg,"Mantaaap. Lanjutkan kak",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@nardiabolical124,Ugx9PM8_bbE5pogMpyl4AaABAg,"Dame dane, dame yo",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@ndraluna,UgwI6uBaYF-rapjlTKB4AaABAg,"Dame dame dame yo dame nano yo",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@realazhar,Ugwjqc_8nMq9CteBRwR4AaABAg,"Dame da ne",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@andymahendra7870,UgyWOWwCa3E1LkwADAl4AaABAg,"Jika salah digunakan. Atau di pelajari secara bebas, indonesia akan hancur dalam waktu dekat. Karena warga indonesia masih terlalu amatir jika menghadapi perkembangan AI yang sangat cepat.",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@zoraluv9486,UgyWOWwCa3E1LkwADAl4AaABAg.9C68pPaJNvY9Rw-96SZ-Fw,"@squishyninjalite1818  https://youtu.be/iyiOVUbsPcM udah berkembang sekarang. Liat video orang ini deepfake jadi tom cruise",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@squishyninjalite1818,UgyWOWwCa3E1LkwADAl4AaABAg.9C68pPaJNvY9CUr5_iRv7q,"@KasihTahu  itu butuh ratusan tahun kawan",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
@KasihTahu,UgyWOWwCa3E1LkwADAl4AaABAg.9C68pPaJNvY9CUq5i8-s9e,"Semoga dengan meningkatnya kualitas pendidikan di Indonesia, orang-orang akan lebih pandai menyaring apa yang asli dan yang tidak.",134,https://www.youtube.com/watch?v=QvVaIIVzrNo,Kemampuan Teknologi Deepfake,QvVaIIVzrNo
